Hhold,Rice.Total,Fish.Total,Meat.Total,Veg.Total,Other.Total,Date
CH010202,100,210,0,0,220,5/1/2019
CB200202,400,250,240,180,508,5/1/2019
CB090202,0,0,0,0,780,5/1/2019
CH330202,250,250,0,75,270,5/1/2019
AM010202,0,200,0,20,210,6/1/2019
AM060202,0,0,0,60,190,6/1/2019
AM120202,150,100,0,60,300,6/1/2019
AM090202,0,180,0,30,360,6/1/2019
AM080202,225,0,0,60,345,6/1/2019
AM100202,0,300,0,130,220,6/1/2019
AM050202,0,0,0,130,210,6/1/2019
AM040202,175,100,0,30,320,6/1/2019
KB010202,0,0,230,160,420,6/1/2019
KB030202,0,300,0,0,564,6/1/2019
KB050202,0,300,210,110,345,6/1/2019
KB020202,0,400,0,60,150,6/1/2019
CB060202,0,0,0,35,150,6/1/2019
CH230202,0,70,0,15,410,6/1/2019
CB200202,0,250,0,110,1254,6/1/2019
CB190202,450,550,0,95,280,6/1/2019
CB210202,100,0,500,115,230,6/1/2019
CB010202,300,0,200,80,280,6/1/2019
CH330202,300,350,220,50,310,6/1/2019
CB090202,0,0,0,0,150,6/1/2019
CB110202,0,80,140,57,170,6/1/2019
CH010202,0,200,0,20,478,6/1/2019
CH280227,150,0,0,50,445,6/1/2019
CH270202,0,100,0,20,256,6/1/2019
CH330226,250,0,0,20,325,6/1/2019
CH020226,100,100,220,0,3000,6/1/2019
CH170202,0,410,0,100,251,6/1/2019
CH170202,0,80,0,80,205,7/1/2019
CH270202,180,120,0,100,270,7/1/2019
CH230202,360,210,0,60,362,7/1/2019
CB200202,250,210,220,120,1601,7/1/2019
CB110202,0,0,0,20,165,7/1/2019
CB090202,250,150,0,50,465,7/1/2019
CB190202,190,80,180,50,265,7/1/2019
AM100202,0,0,0,130,325,7/1/2019
AM010202,0,0,0,90,360,7/1/2019
AM080202,200,0,0,120,350,7/1/2019
AM040202,300,0,0,80,390,7/1/2019
AM090202,0,220,0,50,460,7/1/2019
AM120202,150,0,0,80,215,7/1/2019
AM050202,0,100,0,50,250,7/1/2019
CB010202,400,0,0,0,150,7/1/2019
CH280227,500,120,0,68,310,7/1/2019
CH020226,100,110,0,0,2925,7/1/2019
CH010202,0,250,0,0,230,7/1/2019
CH330226,250,60,0,0,400,7/1/2019
CB210202,400,0,0,20,350,7/1/2019
CB060202,0,100,260,20,405,7/1/2019
AM060202,0,180,0,60,235,7/1/2019
KB030202,0,150,0,30,320,7/1/2019
KB010202,0,0,0,0,300,7/1/2019
KB020202,100,0,250,100,350,7/1/2019
KB050202,225,0,0,100,300,7/1/2019
CH330202,0,200,0,40,150,7/1/2019
